Name,Category,Energy (kcal),Protein (mg),Carbohydrate (mg),"Sugars, total(mg)","Fiber, total dietary (mg)",Total Fat (mg),"Fatty acids, total saturated (mg)",Cholesterol (mg),Niacin (mg),Folic acid ((mg)),"Choline, total (mg)",Vitamin C (mg),Vitamin E (alpha-tocopherol) (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (mg),Water(mg)
"Milk, human",Human milk,70,1030,6890,6890,0,4380,2009,14,0.177,0,16,5,0.08,32,14,3,51,17,0,0,0,87500
"Milk, NFS","Milk, reduced fat",51,3340,4870,4890,0,1990,1164,8,0.11,0,17.9,0.1,0.03,126,103,12,157,39,0,0,0,89040
"Milk, whole","Milk, whole",60,3280,4670,4810,0,3200,1860,12,0.105,0,17.8,0,0.05,123,101,12,150,38,0,0,0,88100
"Milk, low sodium, whole","Milk, whole",61,3100,4460,4460,0,3460,2154,14,0.043,0,16,0.9,0.08,101,86,5,253,3,0,0,0,88200
"Milk, calcium fortified, whole","Milk, whole",60,3280,4670,4810,0,3200,1860,12,0.105,0,17.8,0,0.05,123,101,12,150,38,0,0,0,88100
"Milk, calcium fortified, low fat (1%)","Milk, lowfat",43,3380,5190,4960,0,950,568,5,0.113,0,17.4,0,0.02,126,103,12,159,39,0,0,0,89700
"Milk, calcium fortified, fat free (skim)","Milk, nonfat",35,3400,4850,4850,0,180,117,2,0.088,0,16,1,0.01,204,101,11,166,52,0,0,0,90800
"Milk, reduced fat (2%)","Milk, reduced fat",50,3350,4910,4890,0,1900,1110,8,0.112,0,18.2,0.2,0.03,126,103,12,159,39,0,0,0,89100
"Milk, acidophilus, low fat (1%)","Milk, lowfat",43,3380,5190,4960,0,950,568,5,0.113,0,17.4,0,0.02,126,103,12,159,39,0,0,0,89700
"Milk, acidophilus, reduced fat (2%)","Milk, reduced fat",50,3350,4910,4890,0,1900,1110,8,0.112,0,18.2,0.2,0.03,126,103,12,159,39,0,0,0,89100
"Milk, low fat (1%)","Milk, lowfat",43,3380,5190,4960,0,950,568,5,0.113,0,17.4,0,0.02,126,103,12,159,39,0,0,0,89700
"Milk, fat free (skim)","Milk, nonfat",34,3430,4890,5050,0,80,49,3,0.118,0,18.2,0,0,132,107,12,167,41,0,0,0,90800
"Milk, lactose free, low fat (1%)","Milk, lowfat",43,3380,5190,4960,0,950,568,5,0.113,0,17.4,0,0.02,126,103,12,159,39,0,0,0,89700
"Milk, lactose free, fat free (skim)","Milk, nonfat",34,3430,4890,5050,0,80,49,3,0.118,0,18.2,0,0,132,107,12,167,41,0,0,0,90800
"Milk, lactose free, reduced fat (2%)","Milk, reduced fat",50,3350,4910,4890,0,1900,1110,8,0.112,0,18.2,0.2,0.03,126,103,12,159,39,0,0,0,89100
"Milk, lactose free, whole","Milk, whole",60,3280,4670,4810,0,3200,1860,12,0.105,0,17.8,0,0.05,123,101,12,150,38,0,0,0,88100
"Buttermilk, fat free (skim)","Milk, nonfat",40,3310,4790,4790,0,1070,660,4,0.058,0,17.7,1,0.05,116,89,11,151,148,0,0,0,90130
"Buttermilk, low fat (1%)","Milk, lowfat",40,3310,4790,4790,0,1070,660,4,0.058,0,17.7,1,0.05,116,89,11,151,148,0,0,0,90130
"Buttermilk, reduced fat (2%)","Milk, reduced fat",56,4100,5300,5300,0,2000,1242,8,0.1,0,16,1.5,0.11,143,82,13,180,105,0,0,0,87700
"Buttermilk, whole","Milk, whole",62,3210,4880,4880,0,3310,1899,11,0.09,0,14.6,0,0.07,115,85,10,135,105,0,0,0,87910
"Kefir, NS as to fat content","Milk, lowfat",52,3590,7480,6910,0,960,596,5,0.128,0,15.2,0.8,0.04,124,100,12,159,38,0,0,0,87260
"Goat's milk, whole","Milk, whole",69,3560,4450,4450,0,4140,2667,11,0.277,0,16,1.3,0.07,134,111,14,204,50,0,0,0,87030
"Milk, dry, reconstituted, NS as to fat content","Milk, nonfat",32,3200,4600,4600,0,70,44,2,0.084,0,15,0.6,0,114,86,11,159,51,0,0,0,91340
"Milk, dry, reconstituted, whole","Milk, whole",76,4010,5860,5860,0,4080,2554,15,0.099,0,18.2,1.3,0.09,142,118,14,203,60,0,0,0,85040
"Milk, dry, reconstituted, low fat (1%)","Milk, lowfat",40,3170,4550,4550,0,1010,633,4,0.083,0,15,0.6,0.03,113,85,11,157,51,0,0,0,90480
"Milk, dry, reconstituted, fat free (skim)","Milk, nonfat",32,3200,4600,4600,0,70,44,2,0.084,0,15,0.6,0,114,86,11,159,51,0,0,0,91340
"Milk, evaporated, NS as to fat content","Milk, whole",134,6810,10040,10040,0,7560,4591,29,0.194,0,31.8,1.9,0.14,261,203,24,303,106,0,0,0,74040
"Milk, evaporated, whole","Milk, whole",134,6810,10040,10040,0,7560,4591,29,0.194,0,31.8,1.9,0.14,261,203,24,303,106,0,0,0,74040
"Milk, evaporated, reduced fat (2%)","Milk, reduced fat",92,7420,11150,11150,0,1960,1214,8,0.171,0,25.1,1.2,0.05,285,192,27,326,113,0,0,0,78000
"Milk, evaporated, fat free (skim)","Milk, nonfat",78,7550,11350,11350,0,200,121,4,0.174,0,25.2,1.2,0,290,195,27,332,115,0,0,0,79400
"Milk, condensed, sweetened","Flavored milk, whole",321,7910,54400,54400,0,8700,5486,34,0.21,0,89.1,2.6,0.16,284,253,26,371,127,0,0,0,27160
