Disease,Energy (kcal),Protein (mg),Carbohydrate (mg),"Sugars, total(mg)","Fiber, total dietary (mg)",Total Fat (mg),"Fatty acids, total saturated (mg)",Cholesterol (mg),Niacin (mg),Folic acid ((mg)),"Choline, total (mg)",Vitamin C (mg),Vitamin E (alpha-tocopherol) (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (mg),Water(mg)
AcidReflux,73.20690943,3522.425148,11403.32213,7225.791005,1856.263617,2004.565826,596.563617,9.419296608,0.996060146,0.000541503,17.93615624,11.35970588,0.799354031,33.21635543,53.7591192,22.33860878,234.5842826,117.8511671,0,0,0,82175.65702
Anemia,98.26608517,7739.458589,7751.911265,4344.181346,1313.329677,4257.350878,1261.857009,71.50935467,1.799385763,0.001471384,54.65512039,18.97546872,0.781871798,44.01010687,103.8286702,23.50505605,264.4020187,219.4572657,0.000862069,0.011206897,0,78925.9852
Cavities,76.67432448,2260.77831,14737.1904,8022.875783,1759.489441,1435.62684,467.62789,3.221452523,0.821244055,0.004627644,10.48246204,10.09424003,0.569095609,39.06455014,38.90873644,18.57072576,170.3648537,94.04591248,0.053240741,0.831018519,0,80825.24694
FattyLiver,74.31501959,3903.371536,9980.50434,5287.494366,1618.887092,2433.657305,701.999631,15.26355061,0.971809429,0.001754767,19.21799814,10.93649331,0.800623888,45.03512054,60.3852472,19.83338661,188.9914029,145.9019423,0.041221188,0.641695554,0,82730.43595
Gastritis,59.42814528,2562.70459,9524.778568,6370.533374,1336.102732,1597.405971,538.056863,6.535296512,0.721662722,0.000374887,13.56235318,8.964696665,0.637359058,36.88197826,41.15517369,17.21732744,181.3133352,87.22459719,0.065527066,1.022792023,0,85610.81098
Obesity,104.183973,3324.689913,17460.09702,6685.967875,2025.385594,2698.500983,816.348405,4.216382529,1.302790021,0.009286195,12.5128173,9.299091808,0.642403351,51.73278615,60.02884344,21.98134325,166.1886007,145.4752867,0.318489658,0.904405964,0,75587.41866
Pancreatitis,73.20690943,3522.425148,11403.32213,7225.791005,1856.263617,2004.565826,596.563617,9.419296608,0.996060146,0.000541503,17.93615624,11.35970588,0.799354031,33.21635543,53.7591192,22.33860878,234.5842826,117.8511671,0,0,0,82175.65702
Type1Diabetes,67.13883384,4194.781892,8564.902446,4901.071588,1734.032186,2215.110652,587.423692,16.0153198,1.008871255,0.000651409,22.51825483,14.17538532,0.807442887,43.9035924,66.38784023,23.92926193,257.5496472,150.829564,0,0,0,83863.86737
Urinary-tract,80.9702671,2429.241308,15404.04568,7390.095897,1889.523305,1533.240234,480.776972,3.544487629,0.907250078,0.00571282,10.91173111,11.38539925,0.503835934,34.6882362,41.71203492,18.26007044,165.7397946,102.5192202,0.028395062,0.443209877,0,79873.20353
Hypertension,86,2480,6650,760,1600,6030,3715,18,0.495,0,16.2,14,1.58,82,44,57,409,431,0,0,0,82570
Low Blood Pressure,463,9850,66500,17600,3600,16920,9656,5,3.183,0,21,0,0.67,197,143,22,130,1117,0,0,0,1670
Kidney Stone,51,3340,4870,4890,0,1990,1164,8,0.11,0,17.9,0.1,0.03,126,103,12,157,39,0,0,0,89040
coronary artery disease,277,11010,21660,1650,1500,16230,3733,28,1.536,0,42.8,0,6.88,16,191,25,185,402,0,0,0,49500
bronchitis,47,940,11750,9350,2400,120,15,0,0.282,0,8.4,53.2,0.18,40,14,10,181,0,0,0,0,86750
asthma,78,6460,5560,850,1000,3320,898,15,1.251,0,26.3,5.9,0.28,29,56,11,189,270,0,0,0,83340
common cold,74,6760,8660,560,900,1450,378,23,2.025,0.004,19.9,6,0.09,12,79,16,231,431,0,0,0,81500
influenza,7,1360,380,220,0,0,0,0,0.686,0,3.1,0.4,0.01,8,18,1,85,231,0,0,0,97320
corona virus,82,3850,5520,990,200,4900,1030,71,0.691,0.007,45.8,0,0.62,35,52,6,53,404,0,0,0,84530
diarrhoea,151,1190,32260,20940,2800,3210,1901,8,0.644,0,11.2,7.4,0.19,13,24,29,353,4,0,0,0,62350
cholera,112,2170,20620,130,500,2140,412,0,1.197,0.034,3,0,0.28,11,41,14,41,510,0,0,0,73470
