Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
"Milk, human",Human milk,70,1.03,6.89,6.89,0.0,4.38,2.009,1.658,0.497,14,0.014,0.036,0.177,0.011,0,16.0,5.0,0.1,0.08,0.0,32,14,3,0.03,0.17,0.052,51,17,0,0,0.0,87.5
"Milk, NFS","Milk, reduced fat",51,3.34,4.87,4.89,0.0,1.99,1.164,0.426,0.065,8,0.057,0.137,0.11,0.06,0,17.9,0.1,1.1,0.03,0.0,126,103,12,0.0,0.42,0.001,157,39,0,0,0.0,89.04
"Milk, whole","Milk, whole",60,3.28,4.67,4.81,0.0,3.2,1.86,0.688,0.108,12,0.056,0.138,0.105,0.061,0,17.8,0.0,1.1,0.05,0.0,123,101,12,0.0,0.41,0.001,150,38,0,0,0.0,88.1
"Milk, low sodium, whole","Milk, whole",61,3.1,4.46,4.46,0.0,3.46,2.154,0.999,0.128,14,0.02,0.105,0.043,0.034,0,16.0,0.9,1.3,0.08,0.0,101,86,5,0.05,0.38,0.01,253,3,0,0,0.0,88.2
"Milk, calcium fortified, whole","Milk, whole",60,3.28,4.67,4.81,0.0,3.2,1.86,0.688,0.108,12,0.056,0.138,0.105,0.061,0,17.8,0.0,1.1,0.05,0.0,123,101,12,0.0,0.41,0.001,150,38,0,0,0.0,88.1
"Milk, calcium fortified, low fat (1%)","Milk, lowfat",43,3.38,5.19,4.96,0.0,0.95,0.568,0.21,0.032,5,0.057,0.14,0.113,0.06,0,17.4,0.0,1.1,0.02,0.0,126,103,12,0.0,0.43,0.001,159,39,0,0,0.0,89.7
"Milk, calcium fortified, fat free (skim)","Milk, nonfat",35,3.4,4.85,4.85,0.0,0.18,0.117,0.047,0.007,2,0.036,0.14,0.088,0.04,0,16.0,1.0,1.2,0.01,0.0,204,101,11,0.04,0.4,0.011,166,52,0,0,0.0,90.8
"Milk, reduced fat (2%)","Milk, reduced fat",50,3.35,4.91,4.89,0.0,1.9,1.11,0.4,0.058,8,0.059,0.137,0.112,0.061,0,18.2,0.2,1.1,0.03,0.0,126,103,12,0.0,0.43,0.001,159,39,0,0,0.0,89.1
"Milk, acidophilus, low fat (1%)","Milk, lowfat",43,3.38,5.19,4.96,0.0,0.95,0.568,0.21,0.032,5,0.057,0.14,0.113,0.06,0,17.4,0.0,1.1,0.02,0.0,126,103,12,0.0,0.43,0.001,159,39,0,0,0.0,89.7
"Milk, acidophilus, reduced fat (2%)","Milk, reduced fat",50,3.35,4.91,4.89,0.0,1.9,1.11,0.4,0.058,8,0.059,0.137,0.112,0.061,0,18.2,0.2,1.1,0.03,0.0,126,103,12,0.0,0.43,0.001,159,39,0,0,0.0,89.1
"Milk, low fat (1%)","Milk, lowfat",43,3.38,5.19,4.96,0.0,0.95,0.568,0.21,0.032,5,0.057,0.14,0.113,0.06,0,17.4,0.0,1.1,0.02,0.0,126,103,12,0.0,0.43,0.001,159,39,0,0,0.0,89.7
"Milk, fat free (skim)","Milk, nonfat",34,3.43,4.89,5.05,0.0,0.08,0.049,0.017,0.006,3,0.056,0.131,0.118,0.058,0,18.2,0.0,1.1,0.0,0.0,132,107,12,0.0,0.45,0.002,167,41,0,0,0.0,90.8
"Milk, lactose free, low fat (1%)","Milk, lowfat",43,3.38,5.19,4.96,0.0,0.95,0.568,0.21,0.032,5,0.057,0.14,0.113,0.06,0,17.4,0.0,1.1,0.02,0.0,126,103,12,0.0,0.43,0.001,159,39,0,0,0.0,89.7
"Milk, lactose free, fat free (skim)","Milk, nonfat",34,3.43,4.89,5.05,0.0,0.08,0.049,0.017,0.006,3,0.056,0.131,0.118,0.058,0,18.2,0.0,1.1,0.0,0.0,132,107,12,0.0,0.45,0.002,167,41,0,0,0.0,90.8
"Milk, lactose free, reduced fat (2%)","Milk, reduced fat",50,3.35,4.91,4.89,0.0,1.9,1.11,0.4,0.058,8,0.059,0.137,0.112,0.061,0,18.2,0.2,1.1,0.03,0.0,126,103,12,0.0,0.43,0.001,159,39,0,0,0.0,89.1
"Milk, lactose free, whole","Milk, whole",60,3.28,4.67,4.81,0.0,3.2,1.86,0.688,0.108,12,0.056,0.138,0.105,0.061,0,17.8,0.0,1.1,0.05,0.0,123,101,12,0.0,0.41,0.001,150,38,0,0,0.0,88.1
"Buttermilk, fat free (skim)","Milk, nonfat",40,3.31,4.79,4.79,0.0,1.07,0.66,0.254,0.033,4,0.034,0.154,0.058,0.034,0,17.7,1.0,0.0,0.05,0.0,116,89,11,0.05,0.42,0.011,151,148,0,0,0.0,90.13
"Buttermilk, low fat (1%)","Milk, lowfat",40,3.31,4.79,4.79,0.0,1.07,0.66,0.254,0.033,4,0.034,0.154,0.058,0.034,0,17.7,1.0,0.0,0.05,0.0,116,89,11,0.05,0.42,0.011,151,148,0,0,0.0,90.13
