name,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
Cornstarch,100.0,0.0,0.0,9.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.47,3.0,0.053,13.0,3.0,0.0028,0.06,260.0,19.0,12.0,20.0,6.0,53.0,9.0,8.0,0.0,10.0,36.0,6.0,6.0,13.0,24.0,12.0,9.0,1.0,10.0,14.0,91270.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,9.0,16.0,25.0,0.0,0.0,90.0,0.0,0.0,8320.0
"Nuts, pecans",72000.0,6200.0,0.0,0.0,40.5,0.022,0.0,1.167,0.863,0.13,0.66,0.0014,0.003,0.0,0.029,0.009,0.017,0,0.0,0.21,1.1,0.0,1.4,1.4,0.0035,70.0,1.2,2.53,121.0,4.5,277.0,410.0,0.0038,4.53,9170.0,397.0,1177.0,929.0,152.0,1829.0,453.0,262.0,0.0,336.0,598.0,287.0,183.0,426.0,363.0,474.0,306.0,93.0,215.0,411.0,13860.0,9600.0,3970.0,40.0,0.0,40.0,0.0,0.0,3900.0,71970.0,6180.0,40801.0,21614.0,0.0,0.0,1490.0,0.0,0.0,3520.0
"Eggplant, raw",200.0,0.0,0.0,2.0,6.9,0.022,0.0,0.649,0.281,0.037,0.039,0.000575,0.001,0.0,0.014,0.0,0.036,0,0.0,0.084,2.2,0.0,0.3,0.3,0.0035,9.0,0.081,0.23,14.0,0.232,24.0,229.0,0.0003,0.16,980.0,51.0,57.0,164.0,6.0,186.0,41.0,23.0,0.0,45.0,64.0,47.0,11.0,43.0,43.0,42.0,37.0,9.0,27.0,53.0,5880.0,3000.0,3530.0,1540.0,0.0,1580.0,0.0,0.0,260.0,180.0,34.0,16.0,76.0,0.0,0.0,660.0,0.0,0.0,92300.0
"Teff, uncooked",2400.0,400.0,0.0,12.0,13.1,0.0,0.0,3.363,0.942,0.27,0.39,0.000225,0.0,0.0,0.005,0.0,0.066,0,0.0,0.482,0.0,0.0,0.08,0.08,0.0019,180.0,0.81,7.63,184.0,9.24,429.0,427.0,0.0044,3.63,13300.0,747.0,517.0,820.0,236.0,3349.0,477.0,301.0,0.0,501.0,1068.0,376.0,428.0,698.0,664.0,622.0,510.0,139.0,458.0,686.0,73130.0,8000.0,1840.0,470.0,0.0,730.0,0.0,10.0,620.0,2380.0,449.0,589.0,1071.0,0.0,0.0,2370.0,0.0,0.0,8820.0
"Sherbet, orange",2000.0,1200.0,1.0,46.0,7.7,0.004,0.0,0.063,0.224,0.097,0.027,0.00115,0.012,0.0,0.001,0.005,0.007,0,0.00013,0.023,2.3,0.0,0.01,0.01,0.0,54.0,0.028,0.14,8.0,0.011,40.0,96.0,0.0015,0.48,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30400.0,1300.0,24320.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1160.0,530.0,80.0,1.0,0.0,400.0,0.0,0.0,66100.0
"Cauliflower, raw",300.0,100.0,0.0,30.0,44.3,0.057,0.0,0.507,0.667,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.001,0,0.0,0.184,48.2,0.0,0.08,0.08,0.0155,22.0,0.039,0.42,15.0,0.155,44.0,299.0,0.0006,0.27,1920.0,116.0,86.0,177.0,20.0,257.0,71.0,56.0,0.0,71.0,106.0,217.0,20.0,65.0,71.0,86.0,76.0,20.0,51.0,125.0,4970.0,2000.0,1910.0,970.0,0.0,940.0,0.0,0.0,0.0,280.0,130.0,34.0,31.0,0.0,0.0,760.0,0.0,0.0,92070.0
"Taro leaves, raw",700.0,200.0,0.0,3.0,12.8,0.126,0.0,1.513,0.084,0.456,0.209,0.120625,0.241,0.0,2.895,0.0,1.932,0,0.0,0.146,52.0,0.0,2.02,2.02,0.1086,107.0,0.27,2.25,45.0,0.714,60.0,648.0,0.0009,0.41,4980.0,0.0,220.0,0.0,64.0,0.0,0.0,114.0,0.0,260.0,392.0,246.0,79.0,195.0,0.0,0.0,167.0,48.0,178.0,256.0,6700.0,3700.0,3010.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,151.0,60.0,307.0,0.0,0.0,1920.0,0.0,0.0,85660.0
"Lamb, raw, ground",23000.0,10000.0,73.0,59.0,69.3,0.018,0.0,5.96,0.65,0.21,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00231,0.13,0.0,5e-05,0.2,0.2,0.0036,16.0,0.101,1.55,21.0,0.019,157.0,222.0,0.0188,3.41,16560.0,996.0,984.0,1457.0,198.0,2402.0,809.0,524.0,0.0,799.0,1288.0,1462.0,425.0,674.0,694.0,615.0,709.0,193.0,556.0,893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23410.0,10190.0,9600.0,1850.0,73.0,0.0,870.0,0.0,0.0,59470.0
"Cheese, camembert",24000.0,15000.0,72.0,842.0,15.4,0.062,0.0,0.63,1.364,0.488,0.028,0.0205,0.241,0.0,0.012,0.0,0.0,0,0.0013,0.227,0.0,0.00045,0.21,0.21,0.002,388.0,0.021,0.33,20.0,0.038,347.0,187.0,0.0145,2.38,19800.0,819.0,701.0,1288.0,109.0,4187.0,379.0,683.0,0.0,968.0,1840.0,1766.0,565.0,1105.0,2346.0,1114.0,717.0,307.0,1145.0,1279.0,460.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,24260.0,15259.0,7023.0,724.0,72.0,0.0,3680.0,0.0,0.0,51800.0
Vegetarian fillets,18000.0,2800.0,0.0,490.0,82.0,0.102,0.0,12.0,0.0,0.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0042,1.5,0.0,0.0,3.45,3.45,0.0,95.0,0.925,2.0,23.0,0.0,450.0,600.0,0.001,1.4,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,6100.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,2849.0,4376.0,9332.0,0.0,0.0,5000.0,0.0,0.0,45000.0
